i,j,x,y,yaw
0,153,-0.00259,0.13697,-0.01892
0,154,-0.00259,0.13697,-0.01892
0,155,-0.00259,0.13697,-0.01892
0,156,-0.00259,0.13697,-0.01892
0,157,-0.00259,0.13697,-0.01892
0,158,-0.00259,0.13697,-0.01892
0,159,-0.00259,0.13697,-0.01892
0,160,-0.00259,0.13697,-0.01892
0,161,-0.00263,0.1367,-0.01489
0,162,-0.00263,0.1367,-0.01489
0,163,-0.00263,0.1367,-0.01489
0,164,-0.00259,0.13697,-0.01892
0,165,-0.00259,0.13697,-0.01892
0,166,-0.00259,0.13697,-0.01892
0,167,-0.00259,0.13697,-0.01892
0,168,-0.00259,0.13697,-0.01892
0,169,-0.00259,0.13697,-0.01892
0,170,-0.00259,0.13697,-0.01892
0,171,-0.00259,0.13697,-0.01892
0,172,-0.00259,0.13697,-0.01892
0,173,-0.00259,0.13697,-0.01892
0,174,-0.00259,0.13697,-0.01892
0,175,-0.00259,0.13697,-0.01892
0,176,-0.00259,0.13697,-0.01892
0,177,-0.00259,0.13697,-0.01892
0,178,-0.00259,0.13697,-0.01892
0,179,-0.00259,0.13697,-0.01892
0,180,-0.00259,0.13697,-0.01892
0,181,-0.00259,0.13697,-0.01892
0,182,-0.00259,0.13697,-0.01892
0,183,-0.00259,0.13697,-0.01892
0,184,-0.00259,0.13697,-0.01892
0,185,-0.00259,0.13697,-0.01892
0,186,-0.00259,0.13697,-0.01892
0,187,-0.00259,0.13697,-0.01892
0,188,-0.00259,0.13697,-0.01892
0,189,-0.00259,0.13697,-0.01892
0,190,-0.00259,0.13697,-0.01892
0,191,-0.00259,0.13697,-0.01892
0,192,-0.00259,0.13697,-0.01892
0,193,-0.00259,0.13697,-0.01892
0,194,-0.00259,0.13697,-0.01892
0,195,-0.00259,0.13697,-0.01892
0,196,-0.00259,0.13697,-0.01892
0,197,-0.00259,0.13697,-0.01892
0,198,-0.00259,0.13697,-0.01892
0,199,-0.00259,0.13697,-0.01892
0,200,-0.00259,0.13697,-0.01892
0,201,-0.00259,0.13697,-0.01892
0,202,-0.00259,0.13697,-0.01892
0,203,-0.00259,0.13697,-0.01892
0,204,-0.00259,0.13697,-0.01892
0,205,-0.00259,0.13697,-0.01892
0,206,-0.00259,0.13697,-0.01892
0,207,-0.00259,0.13697,-0.01892
0,208,-0.0034,0.13595,-0.0682
0,209,-0.0034,0.13595,-0.0682
0,210,-0.0034,0.13595,-0.0682
0,211,-0.00328,0.13591,-0.02214
0,212,-0.00328,0.13591,-0.02214
0,213,-0.00328,0.13591,-0.02214
0,214,-0.00328,0.13591,-0.02214
0,215,-0.00328,0.13591,-0.02214
0,216,-0.00328,0.13591,-0.02214
0,217,-0.0034,0.13595,-0.0682
0,218,-0.0034,0.13595,-0.0682
0,219,-0.0034,0.13595,-0.0682
0,220,-0.0034,0.13595,-0.0682
0,221,-0.0034,0.13595,-0.0682
0,222,-0.0034,0.13595,-0.0682
0,223,-0.00328,0.13591,-0.02214
0,224,-0.00328,0.13591,-0.02214
0,225,-0.00328,0.13591,-0.02214
0,226,-0.00362,0.13528,-0.0652
0,227,-0.00362,0.13528,-0.0652
0,228,-0.00362,0.13528,-0.0652
0,229,-0.00362,0.13528,-0.0652
0,230,-0.0038,0.1349,-0.07686
0,231,-0.0038,0.1349,-0.07686
0,232,-0.0038,0.1349,-0.07686
0,233,-0.00362,0.13528,-0.0652
0,234,-0.00362,0.13528,-0.0652
0,235,-0.00362,0.13528,-0.0652
0,236,-0.00362,0.13528,-0.0652
0,237,-0.00362,0.13528,-0.0652
0,238,-0.00362,0.13528,-0.0652
0,239,-0.00362,0.13528,-0.0652
0,240,-0.00362,0.13528,-0.0652
0,241,-0.00362,0.13528,-0.0652
0,242,-0.00362,0.13528,-0.0652
0,243,-0.00362,0.13528,-0.0652
0,244,-0.00362,0.13528,-0.0652
0,245,-0.00362,0.13528,-0.0652
0,246,-0.00362,0.13528,-0.0652
0,247,-0.00362,0.13528,-0.0652
0,248,-0.00362,0.13528,-0.0652
0,249,-0.00362,0.13528,-0.0652
0,250,-0.00362,0.13528,-0.0652
0,251,-0.00362,0.13528,-0.0652
0,252,-0.00362,0.13528,-0.0652
0,253,-0.00362,0.13528,-0.0652
0,254,-0.00362,0.13528,-0.0652
0,255,-0.00362,0.13528,-0.0652
0,256,-0.00362,0.13528,-0.0652
0,257,-0.00362,0.13528,-0.0652
0,258,-0.00362,0.13528,-0.0652
0,259,-0.00362,0.13528,-0.0652
0,260,-0.00362,0.13528,-0.0652
0,261,-0.00295,0.13602,-0.03386
0,262,-0.00295,0.13602,-0.03386
0,263,-0.00295,0.13602,-0.03386
0,264,-0.00362,0.13528,-0.0652
0,265,-0.00362,0.13528,-0.0652
0,266,-0.00362,0.13528,-0.0652
0,267,-0.00362,0.13528,-0.0652
0,268,-0.00362,0.13528,-0.0652
0,269,-0.00362,0.13528,-0.0652
0,270,-0.00362,0.13528,-0.0652
0,271,-0.00362,0.13528,-0.0652
0,272,-0.00362,0.13528,-0.0652
0,273,-0.00295,0.13602,-0.03386
0,274,-0.00295,0.13602,-0.03386
0,275,-0.00295,0.13602,-0.03386
0,276,-0.00295,0.13602,-0.03386
0,277,-0.00295,0.13602,-0.03386
0,278,-0.00295,0.13602,-0.03386
0,279,-0.00295,0.13602,-0.03386
0,280,-0.00295,0.13602,-0.03386
0,281,-0.00295,0.13602,-0.03386
0,282,-0.00295,0.13602,-0.03386
0,283,-0.00295,0.13602,-0.03386
0,284,-0.00295,0.13602,-0.03386
0,285,-0.00295,0.13602,-0.03386
0,286,-0.00295,0.13602,-0.03386
0,287,-0.00295,0.13602,-0.03386
0,288,-0.00295,0.13602,-0.03386
0,289,-0.00295,0.13602,-0.03386
