i,j,f_learnt
0,70,"[1.5152662619921637, 48.72235502573701, -1.5152662619921615, -48.72235502573701]"
0,71,"[1.6191589288652242, 52.06295299648893, -1.6191589288652217, -52.06295299648893]"
0,72,"[1.5308605980186816, 49.22378028368192, -1.5308605980186794, -49.22378028368192]"
0,73,"[0.6025632002320458, 48.827602487622485, -0.6025632002320428, -48.827602487622485]"
0,74,"[0.5908452980899891, 47.87806380427629, -0.5908452980899861, -47.87806380427629]"
0,75,"[0.5787126627326008, 46.89491797637028, -0.5787126627325979, -46.89491797637028]"
0,76,"[0.4354047944276364, 46.26906938675296, -0.4354047944276388, -46.26906938675296]"
0,77,"[0.4116292069374651, 43.7425140493464, -0.41162920693746735, -43.7425140493464]"
0,78,"[0.40230548487320134, 42.75171204473981, -0.40230548487320356, -42.75171204473981]"
0,79,"[0.40109870761708283, 42.62347170078333, -0.40109870761708505, -42.62347170078333]"
0,80,"[-0.8271964222105207, 43.71552415503015, 0.8271964222105211, -43.71552415503015]"
0,81,"[-0.8208717664227176, 43.38127991093018, 0.8208717664227181, -43.38127991093018]"
0,82,"[-0.8081548688821568, 42.70921965210336, 0.8081548688821573, -42.70921965210336]"
0,83,"[-0.7868812853469156, 41.584957227933664, 0.786881285346916, -41.584957227933664]"
0,84,"[-0.7504383347301088, 39.65902688636827, 0.7504383347301092, -39.65902688636827]"
0,85,"[-0.7568984897142933, 40.00043196704024, 0.7568984897142937, -40.00043196704024]"
0,86,"[-0.7519421374305807, 39.73849957448895, 0.7519421374305811, -39.73849957448895]"
0,87,"[-0.7184555820533565, 37.96880826398997, 0.7184555820533569, -37.96880826398997]"
0,88,"[-0.7332813356043905, 38.75231695681626, 0.7332813356043908, -38.75231695681626]"
0,89,"[-0.7129298428145369, 37.67678501451375, 0.7129298428145372, -37.67678501451375]"
0,90,"[-0.7260825487639955, 38.37187679586001, 0.7260825487639958, -38.37187679586001]"
0,91,"[-0.6907572662905566, 36.50501277446575, 0.6907572662905569, -36.50501277446575]"
0,92,"[-0.6698901502838106, 35.40223127137245, 0.6698901502838109, -35.40223127137245]"
0,93,"[-0.6864761649858996, 36.27876592127731, 0.6864761649858999, -36.27876592127731]"
0,94,"[-0.6721000522739655, 35.51901976469391, 0.672100052273966, -35.51901976469391]"
0,95,"[-0.5175320049351871, 34.75444974259898, 0.5175320049351863, -34.75444974259898]"
0,96,"[-0.5424191387264476, 36.42572539770367, 0.5424191387264468, -36.42572539770367]"
0,97,"[-0.5324867416529708, 35.75872318021392, 0.5324867416529698, -35.75872318021392]"
0,98,"[-0.5314992529463475, 35.69240916233975, 0.5314992529463465, -35.69240916233975]"
