i,j,x,y,yaw
0,0,-0.00458,0.10685,-0.02007
0,1,-0.00458,0.10685,-0.02007
0,2,-0.00458,0.10685,-0.02007
0,3,-0.00458,0.10685,-0.02007
0,4,-0.00458,0.10685,-0.02007
0,5,-0.00458,0.10685,-0.02007
0,6,-0.00458,0.10685,-0.02007
0,7,-0.00458,0.10685,-0.02007
0,8,-0.00458,0.10685,-0.02007
0,9,-0.00458,0.10685,-0.02007
0,10,-0.00458,0.10685,-0.02007
0,11,-0.00458,0.10685,-0.02007
0,12,-0.00458,0.10685,-0.02007
0,13,-0.00458,0.10685,-0.02007
0,14,-0.00458,0.10685,-0.02007
0,15,-0.00458,0.10685,-0.02007
0,16,-0.00458,0.10685,-0.02007
0,17,-0.00458,0.10685,-0.02007
0,18,-0.00458,0.10685,-0.02007
0,19,-0.00458,0.10685,-0.02007
0,20,-0.00458,0.10685,-0.02007
0,21,-0.00458,0.10685,-0.02007
0,22,-0.00458,0.10685,-0.02007
0,23,-0.00458,0.10685,-0.02007
0,24,-0.00458,0.10685,-0.02007
0,25,-0.00458,0.10685,-0.02007
0,26,-0.00458,0.10685,-0.02007
0,27,-0.00458,0.10685,-0.02007
0,28,-0.00458,0.10685,-0.02007
0,29,-0.00458,0.10685,-0.02007
0,30,-0.00458,0.10685,-0.02007
0,31,-0.00458,0.10685,-0.02007
0,32,-0.00458,0.10685,-0.02007
0,33,-0.00458,0.10685,-0.02007
0,34,-0.00458,0.10685,-0.02007
0,35,-0.00458,0.10685,-0.02007
0,36,-0.00458,0.10685,-0.02007
0,37,-0.00458,0.10685,-0.02007
0,38,-0.00458,0.10685,-0.02007
0,39,-0.00458,0.10685,-0.02007
0,40,-0.00458,0.10685,-0.02007
0,41,-0.00458,0.10685,-0.02007
0,42,-0.00458,0.10685,-0.02007
0,43,-0.00458,0.10685,-0.02007
0,44,-0.00458,0.10685,-0.02007
0,45,-0.00458,0.10685,-0.02007
0,46,-0.00458,0.10685,-0.02007
0,47,-0.00458,0.10685,-0.02007
0,48,-0.00458,0.10685,-0.02007
0,49,-0.00458,0.10685,-0.02007
0,50,-0.00458,0.10685,-0.02007
0,51,-0.00458,0.10685,-0.02007
0,52,-0.00458,0.10685,-0.02007
0,53,-0.00458,0.10685,-0.02007
0,54,-0.00458,0.10685,-0.02007
0,55,-0.00458,0.10685,-0.02007
0,56,-0.00458,0.10685,-0.02007
0,57,-0.00458,0.10685,-0.02007
0,58,-0.00458,0.10685,-0.02007
0,59,-0.00458,0.10685,-0.02007
0,60,-0.00458,0.10685,-0.02007
0,61,-0.00458,0.10685,-0.02007
0,62,-0.00458,0.10685,-0.02007
0,63,-0.00458,0.10685,-0.02007
0,64,-0.00458,0.10685,-0.02007
0,65,-0.00458,0.10685,-0.02007
0,66,-0.00458,0.10685,-0.02007
0,67,-0.00458,0.10685,-0.02007
0,68,-0.00458,0.10685,-0.02007
0,69,-0.00458,0.10685,-0.02007
0,70,-0.00458,0.10685,-0.02007
0,71,-0.00458,0.10685,-0.02007
0,72,-0.00458,0.10685,-0.02007
0,73,-0.00458,0.10685,-0.02007
0,74,-0.00458,0.10685,-0.02007
0,75,-0.00458,0.10685,-0.02007
0,76,-0.00458,0.10685,-0.02007
0,77,-0.00458,0.10685,-0.02007
0,78,-0.00458,0.10685,-0.02007
0,79,-0.00458,0.10685,-0.02007
0,80,-0.00458,0.10685,-0.02007
0,81,-0.00458,0.10685,-0.02007
0,82,-0.00458,0.10685,-0.02007
0,83,-0.00458,0.10685,-0.02007
0,84,-0.00458,0.10685,-0.02007
0,85,-0.00458,0.10685,-0.02007
0,86,-0.00458,0.10685,-0.02007
0,87,-0.00458,0.10685,-0.02007
0,88,-0.00458,0.10685,-0.02007
0,89,-0.00458,0.10685,-0.02007
0,90,-0.00458,0.10685,-0.02007
0,91,-0.00458,0.10685,-0.02007
0,92,-0.00458,0.10685,-0.02007
0,93,-0.00458,0.10685,-0.02007
0,94,-0.00458,0.10685,-0.02007
0,95,-0.00458,0.10685,-0.02007
0,96,-0.00458,0.10685,-0.02007
0,97,-0.00458,0.10685,-0.02007
0,98,-0.00458,0.10685,-0.02007
0,99,-0.00458,0.10685,-0.02007
0,100,-0.00458,0.10685,-0.02007
0,101,-0.00458,0.10685,-0.02007
0,102,-0.00458,0.10685,-0.02007
0,103,-0.00458,0.10685,-0.02007
0,104,-0.00458,0.10685,-0.02007
0,105,-0.00458,0.10685,-0.02007
0,106,-0.00458,0.10685,-0.02007
0,107,-0.00458,0.10685,-0.02007
0,108,-0.00458,0.10685,-0.02007
0,109,-0.00458,0.10685,-0.02007
0,110,-0.00458,0.10685,-0.02007
0,111,-0.00458,0.10685,-0.02007
0,112,-0.00458,0.10685,-0.02007
0,113,-0.00458,0.10685,-0.02007
0,114,-0.00458,0.10685,-0.02007
0,115,-0.00458,0.10685,-0.02007
0,116,-0.00458,0.10685,-0.02007
0,117,-0.00458,0.10685,-0.02007
0,118,-0.00458,0.10685,-0.02007
0,119,-0.00458,0.10685,-0.02007
0,120,-0.00458,0.10685,-0.02007
0,121,-0.00458,0.10685,-0.02007
0,122,-0.00458,0.10685,-0.02007
0,123,-0.00458,0.10685,-0.02007
0,124,-0.00458,0.10685,-0.02007
0,125,-0.00458,0.10685,-0.02007
0,126,-0.00458,0.10685,-0.02007
0,127,-0.00458,0.10685,-0.02007
0,128,-0.00458,0.10685,-0.02007
0,129,-0.00458,0.10685,-0.02007
0,130,-0.00458,0.10685,-0.02007
0,131,-0.00458,0.10685,-0.02007
0,132,-0.00458,0.10685,-0.02007
0,133,-0.00458,0.10685,-0.02007
0,134,-0.00458,0.10685,-0.02007
0,135,-0.00458,0.10685,-0.02007
0,136,-0.00458,0.10685,-0.02007
0,137,-0.00458,0.10685,-0.02007
0,138,-0.00458,0.10685,-0.02007
0,139,-0.00458,0.10685,-0.02007
0,140,-0.00458,0.10685,-0.02007
0,141,-0.00458,0.10685,-0.02007
0,142,-0.00458,0.10685,-0.02007
0,143,-0.00458,0.10685,-0.02007
0,144,-0.00458,0.10685,-0.02007
0,145,-0.00458,0.10685,-0.02007
0,146,-0.00458,0.10685,-0.02007
0,147,-0.00458,0.10685,-0.02007
0,148,-0.00458,0.10685,-0.02007
0,149,-0.00458,0.10685,-0.02007
0,150,-0.00458,0.10685,-0.02007
0,151,-0.00458,0.10685,-0.02007
0,152,-0.00458,0.10685,-0.02007
0,153,-0.00458,0.10685,-0.02007
0,154,-0.00458,0.10685,-0.02007
0,155,-0.00458,0.10685,-0.02007
0,156,-0.00458,0.10685,-0.02007
0,157,-0.00458,0.10685,-0.02007
0,158,-0.0047,0.10698,-0.01877
0,159,-0.0047,0.10698,-0.01877
0,160,-0.0047,0.10698,-0.01877
0,161,-0.0047,0.10698,-0.01877
0,162,-0.0047,0.10698,-0.01877
0,163,-0.0047,0.10698,-0.01877
0,164,-0.0047,0.10698,-0.01877
0,165,-0.0047,0.10698,-0.01877
0,166,-0.0047,0.10698,-0.01877
0,167,-0.0047,0.10698,-0.01877
0,168,-0.0047,0.10698,-0.01877
0,169,-0.0047,0.10698,-0.01877
0,170,-0.0047,0.10698,-0.01877
0,171,-0.0047,0.10698,-0.01877
0,172,-0.0047,0.10698,-0.01877
0,173,-0.00457,0.10686,-0.06431
0,174,-0.00457,0.10686,-0.06431
0,175,-0.00457,0.10686,-0.06431
0,176,-0.00457,0.10686,-0.06431
0,177,-0.00457,0.10686,-0.06431
0,178,-0.00457,0.10686,-0.06431
0,179,-0.00457,0.10686,-0.06431
0,180,-0.00457,0.10686,-0.06431
0,181,-0.00457,0.10686,-0.06431
0,182,-0.00457,0.10686,-0.06431
0,183,-0.00457,0.10686,-0.06431
0,184,-0.00457,0.10686,-0.06431
0,185,-0.00457,0.10686,-0.06431
0,186,-0.00457,0.10686,-0.06431
0,187,-0.00457,0.10686,-0.06431
0,188,-0.00457,0.10686,-0.06431
0,189,-0.00457,0.10686,-0.06431
0,190,-0.00457,0.10686,-0.06431
0,191,-0.00457,0.10686,-0.06431
0,192,-0.00457,0.10686,-0.06431
0,193,-0.00457,0.10686,-0.06431
0,194,-0.00457,0.10686,-0.06431
0,195,-0.0047,0.1064,-0.06555
0,196,-0.0047,0.1064,-0.06555
0,197,-0.0047,0.1064,-0.06555
0,198,-0.00554,0.10599,-0.03677
0,199,-0.00554,0.10599,-0.03677
0,200,-0.00554,0.10599,-0.03677
0,201,-0.00532,0.10629,-0.02892
0,202,-0.00532,0.10629,-0.02892
0,203,-0.00532,0.10629,-0.02892
0,204,-0.00532,0.10629,-0.02892
0,205,-0.00532,0.10629,-0.02892
0,206,-0.00532,0.10629,-0.02892
0,207,-0.00532,0.10629,-0.02892
0,208,-0.00532,0.10629,-0.02892
0,209,-0.00532,0.10629,-0.02892
0,210,-0.00532,0.10629,-0.02892
0,211,-0.0042,0.10685,-0.03387
0,212,-0.0042,0.10685,-0.03387
0,213,-0.0042,0.10685,-0.03387
0,214,-0.0042,0.10685,-0.03387
0,215,-0.0042,0.10685,-0.03387
0,216,-0.0042,0.10685,-0.03387
0,217,-0.0042,0.10685,-0.03387
0,218,-0.0042,0.10685,-0.03387
0,219,-0.0042,0.10685,-0.03387
0,220,-0.0042,0.10685,-0.03387
0,221,-0.0042,0.10685,-0.03387
0,222,-0.0042,0.10685,-0.03387
0,223,-0.0042,0.10685,-0.03387
0,224,-0.0042,0.10685,-0.03387
0,225,-0.0042,0.10685,-0.03387
0,226,-0.0042,0.10685,-0.03387
0,227,-0.0042,0.10685,-0.03387
0,228,-0.0042,0.10685,-0.03387
0,229,-0.0042,0.10685,-0.03387
0,230,-0.0042,0.10685,-0.03387
0,231,-0.0042,0.10685,-0.03387
0,232,-0.0042,0.10685,-0.03387
0,233,-0.0042,0.10685,-0.03387
0,234,-0.0042,0.10685,-0.03387
0,235,-0.0042,0.10685,-0.03387
0,236,-0.00469,0.1063,-0.04676
0,237,-0.00469,0.1063,-0.04676
0,238,-0.00469,0.1063,-0.04676
0,239,-0.00469,0.1063,-0.04676
0,240,-0.00469,0.1063,-0.04676
0,241,-0.00469,0.1063,-0.04676
0,242,-0.00411,0.10688,-0.0619
0,243,-0.00411,0.10688,-0.0619
0,244,-0.00411,0.10688,-0.0619
0,245,-0.00483,0.10642,-0.05373
0,246,-0.00483,0.10642,-0.05373
0,247,-0.00483,0.10642,-0.05373
0,248,-0.00411,0.10688,-0.0619
0,249,-0.00411,0.10688,-0.0619
0,250,-0.00411,0.10688,-0.0619
0,251,-0.00392,0.10717,-0.0555
0,252,-0.00392,0.10717,-0.0555
0,253,-0.00392,0.10717,-0.0555
0,254,-0.00411,0.10688,-0.0619
0,255,-0.00411,0.10688,-0.0619
0,256,-0.00411,0.10688,-0.0619
0,257,-0.00411,0.10688,-0.0619
0,258,-0.00411,0.10688,-0.0619
0,259,-0.00411,0.10688,-0.0619
0,260,-0.00411,0.10688,-0.0619
0,261,-0.0035,0.10687,-0.04281
0,262,-0.0035,0.10687,-0.04281
0,263,-0.0035,0.10687,-0.04281
0,264,-0.0035,0.10687,-0.04281
0,265,-0.0035,0.10687,-0.04281
0,266,-0.0035,0.10687,-0.04281
0,267,-0.0035,0.10687,-0.04281
0,268,-0.0035,0.10687,-0.04281
0,269,-0.0035,0.10687,-0.04281
0,270,-0.00331,0.10689,-0.05067
0,271,-0.00331,0.10689,-0.05067
0,272,-0.00331,0.10689,-0.05067
0,273,-0.00331,0.10689,-0.05067
0,274,-0.00331,0.10689,-0.05067
0,275,-0.00331,0.10689,-0.05067
0,276,-0.00243,0.10726,-0.05036
0,277,-0.00243,0.10726,-0.05036
0,278,-0.00243,0.10726,-0.05036
0,279,-0.00243,0.10726,-0.05036
0,280,-0.00243,0.10726,-0.05036
0,281,-0.00243,0.10726,-0.05036
0,282,-0.00243,0.10726,-0.05036
0,283,-0.00231,0.10761,-0.06506
0,284,-0.00231,0.10761,-0.06506
0,285,-0.00231,0.10761,-0.06506
0,286,-0.00231,0.10761,-0.06506
0,287,-0.00231,0.10761,-0.06506
0,288,-0.00231,0.10761,-0.06506
0,289,-0.00337,0.10688,-0.06198
0,290,-0.00337,0.10688,-0.06198
0,291,-0.00337,0.10688,-0.06198
0,292,-0.00368,0.10661,-0.06843
0,293,-0.00368,0.10661,-0.06843
0,294,-0.00368,0.10661,-0.06843
