i,j,f_learnt
0,198,"[0.2961756077564534, -8.051186184435252, -0.2961756077564529, 8.051186184435252]"
0,199,"[0.11287763724689083, -3.0684460493491112, -0.11287763724689064, 3.0684460493491112]"
0,200,"[0.1643367641326327, -4.467302000330301, -0.16433676413263243, 4.467302000330301]"
0,201,"[0.19645253880415403, -6.791070780863639, -0.1964525388041535, 6.791070780863639]"
0,202,"[0.21974251765766692, -7.596170556319832, -0.21974251765766634, 7.596170556319832]"
0,203,"[0.24608875881831926, -8.506920753903483, -0.2460887588183186, 8.506920753903483]"
0,204,"[0.2799040204430751, -9.675863830765785, -0.27990402044307433, 9.675863830765785]"
0,205,"[0.2425558289153455, -8.384792645094246, -0.24255582891534483, 8.384792645094246]"
0,206,"[0.2817951402910557, -9.741237018716975, -0.28179514029105496, 9.741237018716975]"
0,207,"[0.3220553647567642, -11.13297283269213, -0.3220553647567634, 11.13297283269213]"
0,208,"[0.21769290355862714, -7.525318458888241, -0.21769290355862655, 7.525318458888241]"
0,209,"[0.2541690188229512, -8.786243270951436, -0.2541690188229505, 8.786243270951436]"
0,210,"[0.2910997387801444, -10.062883088101252, -0.2910997387801436, 10.062883088101252]"
0,211,"[0.3655202651749178, -10.787731985512108, -0.3655202651749173, 10.787731985512108]"
0,212,"[0.4142930632736722, -12.22718124237088, -0.4142930632736716, 12.22718124237088]"
0,213,"[0.4500111795182721, -13.28134294497776, -0.4500111795182714, 13.28134294497776]"
0,214,"[0.502063782924299, -14.817590283887016, -0.5020637829242983, 14.817590283887016]"
0,215,"[0.4855718924085704, -14.330859145374214, -0.4855718924085697, 14.330859145374214]"
0,216,"[0.5132345635497405, -15.147277578785827, -0.5132345635497398, 15.147277578785827]"
0,217,"[0.5648408402582169, -16.67035231620102, -0.564840840258216, 16.67035231620102]"
0,218,"[0.6183811095769449, -18.25050567805683, -0.618381109576944, 18.25050567805683]"
0,219,"[0.706638109045152, -20.85526647197036, -0.706638109045151, 20.85526647197036]"
0,220,"[0.7583253164464132, -22.38072974623657, -0.7583253164464122, 22.38072974623657]"
0,221,"[0.766183125808581, -22.612640120212, -0.7661831258085798, 22.612640120212]"
0,222,"[0.7092453534250724, -20.932215019755677, -0.7092453534250713, 20.932215019755677]"
0,223,"[0.7272488556579249, -21.463558902414658, -0.7272488556579239, 21.463558902414658]"
0,224,"[0.7302742151179672, -21.552847432010008, -0.7302742151179662, 21.552847432010008]"
0,225,"[0.7752257528117683, -22.879518446393607, -0.7752257528117672, 22.879518446393607]"
0,226,"[0.7364792242579914, -21.73597811434906, -0.7364792242579903, 21.73597811434906]"
0,227,"[0.797871968075756, -23.54788440043231, -0.7978719680757549, 23.54788440043231]"
0,228,"[0.8286540161348401, -24.456366134728608, -0.8286540161348389, 24.456366134728608]"
0,229,"[0.8956702662180372, -26.434240998180073, -0.8956702662180359, 26.434240998180073]"
0,230,"[0.9261363046831765, -27.33339622686472, -0.9261363046831752, 27.33339622686472]"
0,231,"[0.9796362366042228, -28.91235909649167, -0.9796362366042215, 28.91235909649167]"
0,232,"[0.7173536167615719, -21.17151713259545, -0.717353616761571, 21.17151713259545]"
0,233,"[0.7500804378096454, -22.137395656554943, -0.7500804378096443, 22.137395656554943]"
0,234,"[0.789166255918515, -23.290949564137016, -0.7891662559185139, 23.290949564137016]"
0,235,"[0.7008987161512786, -20.685877690560307, -0.7008987161512776, 20.685877690560307]"
0,236,"[1.0463984986567905, -22.361756591023614, -1.0463984986567898, 22.361756591023614]"
0,237,"[1.1252978694703066, -24.04785278437781, -1.125297869470306, 24.04785278437781]"
0,238,"[1.0590763068903108, -22.63268402659388, -1.0590763068903104, 22.63268402659388]"
0,239,"[1.0776547063888795, -23.029708341872496, -1.077654706388879, 23.029708341872496]"
0,240,"[1.1534749709236043, -24.650003384696937, -1.1534749709236036, 24.650003384696937]"
0,241,"[0.9263009422667381, -19.79524648362338, -0.9263009422667375, 19.79524648362338]"
0,242,"[1.3095989765536373, -21.129659530908643, -1.3095989765536364, 21.129659530908643]"
0,243,"[1.4113812824887777, -22.77186108205823, -1.4113812824887766, 22.77186108205823]"
0,244,"[1.308715245781224, -21.115401020729273, -1.308715245781223, 21.115401020729273]"
0,245,"[1.142790990288746, -21.248670498695926, -1.1427909902887456, 21.248670498695926]"
0,246,"[1.2313706998004783, -22.895691761796215, -1.2313706998004776, 22.895691761796215]"
0,247,"[1.3135492071869808, -24.42369123008852, -1.3135492071869803, 24.42369123008852]"
0,248,"[1.6536710732280337, -26.681073656130444, -1.6536710732280324, 26.681073656130444]"
0,249,"[1.75228893165046, -28.272218586326467, -1.7522889316504584, 28.272218586326467]"
0,250,"[1.7791796069439816, -28.70608484896176, -1.7791796069439803, 28.70608484896176]"
0,251,"[1.6493638372796882, -29.68774783965242, -1.64936383727969, 29.68774783965242]"
0,252,"[1.6273680367728318, -29.291834115694545, -1.6273680367728336, 29.291834115694545]"
0,253,"[1.6977227503400885, -30.55818478284665, -1.69772275034009, 30.55818478284665]"
0,254,"[1.8032256510326157, -29.094054550950332, -1.8032256510326143, 29.094054550950332]"
0,255,"[1.7819119989274523, -28.750170491474748, -1.7819119989274508, 28.750170491474748]"
0,256,"[1.7901162681699017, -28.882541865381178, -1.7901162681699003, 28.882541865381178]"
0,257,"[1.8930433715152764, -30.543214093389246, -1.8930433715152748, 30.543214093389246]"
0,258,"[2.1021481516352845, -33.91700476467443, -2.102148151635283, 33.91700476467443]"
0,259,"[2.0862427294217984, -33.6603795213112, -2.0862427294217967, 33.6603795213112]"
0,260,"[1.9509391593729353, -31.47733080209755, -1.9509391593729337, 31.47733080209755]"
0,261,"[1.4295690662603984, -33.372941781251825, -1.4295690662603953, 33.372941781251825]"
0,262,"[1.4778015115883782, -34.498916473827386, -1.477801511588375, 34.498916473827386]"
0,263,"[1.544215506129088, -36.0493350059417, -1.5442155061290845, 36.0493350059417]"
0,264,"[1.4752574457612173, -34.439525876519895, -1.475257445761214, 34.439525876519895]"
0,265,"[1.56540768089242, -36.544061165934004, -1.5654076808924164, 36.544061165934004]"
0,266,"[1.466107009153131, -34.225911161846795, -1.4661070091531276, 34.225911161846795]"
0,267,"[1.5147619099597665, -35.36174797471237, -1.5147619099597631, 35.36174797471237]"
0,268,"[1.5766178866441496, -36.80576068975413, -1.5766178866441458, 36.80576068975413]"
0,269,"[1.6110833403916787, -37.61034831586271, -1.611083340391675, 37.61034831586271]"
0,270,"[2.0108869832894616, -39.65197826714572, -2.0108869832894625, 39.65197826714572]"
0,271,"[2.0918468694893844, -41.24839799375739, -2.0918468694893853, 41.24839799375739]"
0,272,"[1.7856500193174114, -35.210609222243995, -1.7856500193174119, 35.210609222243995]"
0,273,"[1.8856456839019058, -37.182388815956955, -1.8856456839019062, 37.182388815956955]"
0,274,"[1.9732850933833725, -38.91051972981865, -1.973285093383373, 38.91051972981865]"
0,275,"[2.0146335269908118, -39.72585505418416, -2.014633526990812, 39.72585505418416]"
0,276,"[2.090250308738156, -41.47106754054602, -2.090250308738156, 41.47106754054602]"
0,277,"[2.143435082087737, -42.526266201916194, -2.143435082087737, 42.526266201916194]"
0,278,"[1.8383303363046577, -36.4729148561869, -1.8383303363046577, 36.4729148561869]"
0,279,"[1.6906858791961497, -33.543613409782374, -1.6906858791961497, 33.543613409782374]"
0,280,"[1.7792031940189412, -35.29981816965145, -1.7792031940189412, 35.29981816965145]"
0,281,"[1.8324277552038695, -36.35580623121934, -1.8324277552038695, 36.35580623121934]"
0,282,"[1.9191471466177437, -38.07633975936452, -1.9191471466177437, 38.07633975936452]"
0,283,"[2.53863058864767, -38.96476692170838, -2.538630588647667, 38.96476692170838]"
0,284,"[2.4430744762436793, -37.49810152170251, -2.4430744762436762, 37.49810152170251]"
0,285,"[2.5827914059677366, -39.64257958245677, -2.582791405967733, 39.64257958245677]"
0,286,"[2.690480957595608, -41.295477919791686, -2.6904809575956046, 41.295477919791686]"
0,287,"[2.7963285963522253, -42.92010522547692, -2.7963285963522218, 42.92010522547692]"
0,288,"[2.874655896197738, -44.1223301556165, -2.874655896197734, 44.1223301556165]"
0,289,"[2.8463706889206453, -45.86519777539608, -2.846370688920643, 45.86519777539608]"
0,290,"[2.955071697312166, -47.61675925249681, -2.9550716973121633, 47.61675925249681]"
0,291,"[3.0372028795026846, -48.940185933834535, -3.037202879502682, 48.940185933834535]"
0,292,"[3.455530515580181, -50.41845877371171, -3.455530515580181, 50.41845877371171]"
0,293,"[3.560409913550174, -51.94871804328554, -3.560409913550174, 51.94871804328554]"
0,294,"[3.6722657473829203, -53.58076809211822, -3.6722657473829203, 53.58076809211822]"
0,295,"[3.858409270957165, -56.29672430405338, -3.858409270957165, 56.29672430405338]"
0,296,"[3.9720561720792813, -57.95490720047137, -3.9720561720792813, 57.95490720047137]"
0,297,"[4.24077664773201, -61.87571535489581, -4.24077664773201, 61.87571535489581]"
0,298,"[5.634191507948465, -63.66320145506235, -5.634191507948458, 63.66320145506235]"
0,299,"[5.798431988536157, -65.51902669422569, -5.79843198853615, 65.51902669422569]"
0,300,"[5.920816416933841, -66.90190203828395, -5.920816416933833, 66.90190203828395]"
0,301,"[4.491186952110973, -68.92341237501441, -4.49118695211097, 68.92341237501441]"
0,302,"[4.599026035045436, -70.5783507381885, -4.599026035045434, 70.5783507381885]"
0,303,"[4.665799020821623, -71.60307361951946, -4.665799020821622, 71.60307361951946]"
0,304,"[4.747676509444267, -72.85959577563156, -4.747676509444265, 72.85959577563156]"
0,305,"[4.884321676654482, -74.95660293857225, -4.88432167665448, 74.95660293857225]"
0,306,"[4.951234537136185, -75.98347238875279, -4.951234537136183, 75.98347238875279]"
0,307,"[5.065453876159605, -77.73632451640971, -5.065453876159602, 77.73632451640971]"
